Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
MIX VEGETABLE SOUP (सब्जी का सूप मिलाएं),100g,114,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
OATS VEGETABLE SOUP (जई की वनस्पति सूप),150g,35,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RAGI SOUP (रागी सूप),100ml,89,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RED MASOOR DAL KHICHDI (रेड मसूर दाल खिचड़ी),100g,128.5,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
STREAM VEGETABLE (स्ट्रीम सब्जी),100g,43,2.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
SWEET CORN SOUP (स्वीट कॉर्न सूप),30g,89,5.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
TOMATO SOUP (टमाटर का सूप),100g,49,2,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG JAU DALIYA (वेग जौ डालीया),100g,151,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG OATS KHICHDI (वेज ओट्स खिचड़ी),100g,136,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG SAMA TEHRI (वेग साम तेरी),100g,171,5.4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEGETABLE  SMOOTHIE (वनस्पति स्मूथी),100g,25,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
PARBOILED RICE( USNA) (चावल चावल (यूएसएनए)),30g,106,7,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SAMBHAR (सांभर),100g,9,0,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SOYABEAN CURRY (सोयाबीन करी),100g,155.6,12.1,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
MILK DALIYA (मिल्क डालीया),180g,159,6,Veg,F1,Milk-Based Drinks,Bed Time,F
